'2016-09-01T12:38:09.243', 'H.R. 4511', 'Gold Star Families Voices Act', ['http://docs.house.gov/billsthisweek/20160905/HR4511.pdf']],
'2016-09-01T13:50:03.657', 'H.R. 5578', "Survivors' Bill of Rights Act of 2016", ['http://docs.house.gov/billsthisweek/20160905/HR5578.pdf']],
'2016-09-01T13:50:18.133', 'H.R. 2830', 'To make technical amendments to update statutory references to certain provisions classified to title 2, United States Code', ['http://docs.house.gov/billsthisweek/20160905/HR2830-2.pdf']],
'2016-09-01T13:50:35.870', 'H.R. 2831', 'To make technical amendments to update statutory references to provisions classified to chapters 44, 45, 46, and 47 of title 50, United States Code, as amended', ['http://docs.house.gov/billsthisweek/20160905/HR2831.pdf']],
'2016-09-01T13:50:50.783', 'H.R. 2832', 'To make technical amendments to update statutory references to certain provisions classified to title 52, United States Code, as amended', ['http://docs.house.gov/billsthisweek/20160905/HR2832.pdf']],
'2016-09-01T13:51:20.347', 'H.R. 3881', 'Cooperative Management of Mineral Rights Act of 2016', ['http://docs.house.gov/billsthisweek/20160905/HR3881.pdf']],
'2016-09-01T13:51:37.350', 'H.R. 4202', 'Fort Ontario Study Act, as amended', ['http://docs.house.gov/billsthisweek/20160905/HR4202-2.pdf']],
'2016-09-01T13:51:54.573', 'H.R. 4245', 'To exempt importation and exportation of sea urchins and sea cucumbers from licensing requirements under the Endangered Species Act of 1973', ['http://docs.house.gov/billsthisweek/20160905/HR4245.pdf']],
'2016-09-01T13:52:12.653', 'H.R. 4789', 'To authorize the Secretary of the Interior to establish a structure for visitor services on the Arlington Ridge tract, in the area of the U.S. Marine Corps War Memorial, and for other purposes', ['http://docs.house.gov/billsthisweek/20160905/HR4789.pdf']],
'2016-09-01T13:52:28.737', 'H.R. 5577', 'Innovation in Offshore Leasing Act', ['http://docs.house.gov/billsthisweek/20160905/HR5577.pdf']],
'2016-09-01T13:52:44.460', 'H.R. 3839', 'Black Hills National Cemetery Boundary Expansion Act, as amended', ['http://docs.house.gov/billsthisweek/20160905/HR3839.pdf']],
'2016-09-01T13:53:02.807', 'H.R. 4510', 'Bolts Ditch Access and Use Act, as amended', ['http://docs.house.gov/billsthisweek/20160905/HR4510.pdf']],
'2016-09-01T13:53:23.943', 'H.R. 3480', 'Fort Frederica National Monument Boundary Expansion Act', ['http://docs.house.gov/billsthisweek/20160905/HR3480.pdf']],
'2016-09-02T11:56:00.973', 'H. Res. 660', 'Expressing the sense of the House of Representatives to support the territorial integrity of Georgia', ['http://docs.house.gov/billsthisweek/20160905/HRes660.pdf']],
'2016-09-02T11:56:18.397', 'H. Res. 634', 'Recognizing the importance of the United States-Republic of Korea-Japan trilateral relationship to counter North Korean threats and nuclear proliferation, and to ensure regional security and human rights, as amended', ['http://docs.house.gov/billsthisweek/20160905/HRes634.pdf']],
'2016-09-02T11:56:34.653', 'H.R. 4481', 'Education for All Act of 2016, as amended', ['http://docs.house.gov/billsthisweek/20160905/HR4481.pdf']],
'2016-09-02T11:56:51.627', 'H.R. 5537', 'Digital GAP Act, as amended', ['http://docs.house.gov/billsthisweek/20160905/HR5537.pdf']],
'2016-09-02T11:57:25.540', 'H.R. 2845', 'AGOA Enhancement Act of 2015, as amended', ['http://docs.house.gov/billsthisweek/20160905/HR2845.pdf']],
'2016-09-07T17:01:11.087', 'S. 2040', 'Justice Against Sponsors of Terrorism Act', ['https://www.gpo.gov/fdsys/pkg/BILLS-114s2040rfh/pdf/BILLS-114s2040rfh.pdf']],
'2016-08-29T12:24:02.293', 'H.R. 2357', 'Accelerating Access to Capital Act of 2015 (Rules Committee Print 114-62, showing the text of H.R. 2357, as reported, and H.R. 4850 and H.R. 4852, as ordered reported; all by the Committee on Financial Services)', ['http://docs.house.gov/billsthisweek/20160905/CPRT-114-HPRT-RU00-HR2357.pdf', 'http://docs.house.gov/billsthisweek/20160905/CPRT-114-HPRT-RU00-HR2357.xml']],
'2016-08-29T12:17:08.833', 'H.R. 5063', 'Stop Settlement Slush Funds Act of 2016', ['https://www.congress.gov/114/bills/hr5063/BILLS-114hr5063rh.pdf', 'https://www.congress.gov/114/bills/hr5063/BILLS-114hr5063rh.xml']],
'2016-08-29T12:13:31.960', 'H.R. 5424', 'Investment Advisers Modernization Act of 2016', ['https://www.congress.gov/114/bills/hr5424/BILLS-114hr5424rh.pdf', 'https://www.congress.gov/114/bills/hr5424/BILLS-114hr5424rh.xml']],
